Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
              
                A bioinspired revolving-wing drone with passive attitude stability and efficient hovering flight.
              
            ","Bai S, He Q, Chirarattananon P.",<built-in method split of str object at 0x000001C4051CF910>,35544606,No,"
              Here, the bioinspired principles are adopted to notably reduce the power consumption of small aerial vehicles by means of a samara-inspired robot. We report a dual-wing 35.1-gram aircraft capable of hovering flight via powered gyration. ...Through the analysis of flight dy …
            ",https://pubmed.ncbi.nlm.nih.gov/35544606/
"
              
                Real-Time and Accurate Drone Detection in a Video with a Static Background.
              
            ","Seidaliyeva U, Akhmetov D, Ilipbayeva L, Matson ET.",<built-in method split of str object at 0x000001C406786830>,32664365,Yes,"
              With the increasing number of drones, the danger of their illegal use has become relevant. This has necessitated the creation of automatic drone protection systems. ...From the point of view of the price-quality ratio, the use of video cameras for a drone det …
            ",https://pubmed.ncbi.nlm.nih.gov/32664365/
"
              
                Analysis of Honeybee Drone Activity during the Mating Season in Northwestern Argentina.
              
            ","Ayup MM, Gärtner P, Agosto-Rivera JL, Marendy P, de Souza P, Galindo-Cardona A.",<built-in method split of str object at 0x000001C4051C3BD0>,34205532,Yes,"
              Yet, in nature, these changes are subtle and often unobservable without the development and use of modern technology. During the spring and summer mating season, drones emerge from the hive, perform orientation flights, and search for drone congregation areas for ma …
            ",https://pubmed.ncbi.nlm.nih.gov/34205532/
"
              
                Coverage Path Planning and Point-of-Interest Detection Using Autonomous Drone Swarms.
              
            ","Bezas K, Tsoumanis G, Angelis CT, Oikonomou K.",<built-in method split of str object at 0x000001C405C8D5C0>,36236651,Yes,"
Unmanned Aerial Vehicles (UAVs) or drones presently are enhanced with miniature sensors that can provide information relative to their environment. ...In the current work, a CPP algorithm is proposed for a swarm of drones to detect points of interest a …
            ",https://pubmed.ncbi.nlm.nih.gov/36236651/
"
              
                Secure Drone Network Edge Service Architecture Guaranteed by DAG-Based Blockchain for Flying Automation under 5G.
              
            ","Gao Y, Liu Y, Wen Q, Lin H, Chen Y.",<built-in method split of str object at 0x000001C40674C3B0>,33143360,Yes,"
              Therefore, it has become an inevitable trend to realize drone flying automation. Drone flying automation mainly relies on massive drone applications and services as well as third-party service providers, which not only complicate the drone network serv …
            ",https://pubmed.ncbi.nlm.nih.gov/33143360/
"
Drone-based assessment of microsite-scale hydrological processes promoted by restoration actions in early post-mining ecological restoration stages.
              
            ","Morcillo L, Turrión D, Fuentes D, Vilagrosa A.",<built-in method split of str object at 0x000001C406EB4A50>,37931436,Yes,"
              The combination of different restoration techniques to reestablish vegetation, such as sowing and plantation, implies the interspersion of bare-soil areas with vegetated areas in early plant development stages, which may result in an associated mosaic of hydrologic functioning. I …
            ",https://pubmed.ncbi.nlm.nih.gov/37931436/
"
              
                The emergence of marine recreational drone fishing: Regional trends and emerging concerns.
              
            ","Winkler AC, Butler EC, Attwood CG, Mann BQ, Potts WM.",<built-in method split of str object at 0x000001C406786F30>,34145559,Yes,"
              Online evidence suggests that there has been an increase in interest of using unmanned aerial vehicles or drones during land-based marine recreational fishing. ...In terms of governance, no resource use legislation specifically directed at recreational dro …
            ",https://pubmed.ncbi.nlm.nih.gov/34145559/
"
              
                A Coordinated Vehicle-Drone Arc Routing Approach Based on Improved Adaptive Large Neighborhood Search.
              
            ","Wu G, Zhao K, Cheng J, Ma M.",<built-in method split of str object at 0x000001C40674D0D0>,35632111,Yes,"
              The most common way to patrol is using ground vehicles, which may be inflexible and inefficient. The vehicle-drone coordination maximizes utilizing the flexibility of drones and addresses their limited battery capacity issue. This paper studied a vehicle-drone …
            ",https://pubmed.ncbi.nlm.nih.gov/35632111/
"
Drones in wine and medicine.
              
            ",McCann SR.,<built-in method split of str object at 0x000001C405C8DB60>,34773087,No,"
",https://pubmed.ncbi.nlm.nih.gov/34773087/
"
              
                Investigating the influence of drone flight on the stability of cancer medicines.
              
            ","Zhu W, Oakey A, Royall PG, Waters TP, Cherrett T, Theobald K, Bester AM, Lucas R.",<built-in method split of str object at 0x000001C406EB4DB0>,36607896,Yes,"
              Storage specifications (2-8C) were met, and any vibrations emanating from the drone and transmitted through the packaging during flight were monitored using accelerometers. ...The quality of the three mAbs was assured, suggesting that the V50 drone did not induce su …
            ",https://pubmed.ncbi.nlm.nih.gov/36607896/
"
              
                Open Science Drone Toolkit: Open source hardware and software for aerial data capture.
              
            ","Pereyra Irujo G, Bernaldo P, Velázquez L, Pérez A, Molina Favero C, Egozcue A.",<built-in method split of str object at 0x000001C4051DE830>,37023121,Yes,"
              Despite the increased access to scientific publications and data as a result of open science initiatives, access to scientific tools remains limited. Uncrewed aerial vehicles (UAVs, or drones) can be a powerful tool for research in disciplines such as agriculture an …
            ",https://pubmed.ncbi.nlm.nih.gov/37023121/
"
              
                Implementation of drone based delivery of medical supplies in North-East India: experiences, challenges and adopted strategies.
              
            ","Aggarwal S, Gupta P, Mahajan N, Balaji S, Singh KJ, Bhargava B, Panda S.",<built-in method split of str object at 0x000001C405126AF0>,37333530,Yes,"
              The present paper elucidates the implementation process of drone-based delivery of medical supplies, operational challenges and innovations adopted by scientists in Manipur and Nagaland. ...The experiences encountered by the team for case-to-case based permission and coord …
            ",https://pubmed.ncbi.nlm.nih.gov/37333530/
"
              
                Optimization of Medication Delivery Drone with IoT-Guidance Landing System Based on Direction and Intensity of Light.
              
            ","Baloola MO, Ibrahim F, Mohktar MS.",<built-in method split of str object at 0x000001C405C8DF20>,35684893,Yes,"
              This paper presents an optimization of the medication delivery drone with the Internet of Things (IoT)-Guidance Landing System based on direction and intensity of light. The IoT-GLS was incorporated into the system to assist the drone's operator or autonomous system …
            ",https://pubmed.ncbi.nlm.nih.gov/35684893/
"
              
                Detection of Pine Wilt Nematode from Drone Images Using UAV.
              
            ","Sun Z, Ibrayim M, Hamdulla A.",<built-in method split of str object at 0x000001C40674CC70>,35808205,Yes,"
              Pine wilt nematode disease is a devastating forest disease that spreads rapidly. Using drone remote sensing to monitor pine wilt nematode trees promptly is an effective way to control the spread of pine wilt nematode disease. ...Compared with the YOLOv4 pine-wilt-nematode …
            ",https://pubmed.ncbi.nlm.nih.gov/35808205/
